pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
TOI-776 b,TOI-776,0.0652,1.85,0.06,89.65,-67,0.54,0.06210998838,2901241.731,0.54,0.1800753518
TOI-824 b,TOI-824,0.02177,2.926,0,83.65,90,0.69,0.0610007645,2901241.731,0.71,0.006198704448
TOI-836 b,TOI-836,0.0422,1.704,0.053,87.57,9,0.67,0.06153382962,2901241.731,0.68,1.057750871
TOI-836 c,TOI-836,0.075,2.587,0.078,88.7,-28,0.67,0.06153382962,2901241.731,0.68,1.057750871
TOI-837 b,TOI-837,0.08177,8.631,0,86.88,90,1.02,0.08661491224,5802483.463,1.12,0.6111264683
TOI-942 c,TOI-942,0.0847,5.79,0,89.54,90,1.02,0.1008933451,5802483.463,0.79,0.9336475825
TOI-942 b,TOI-942,0.04796,4.81,0,89.97,90,1.02,0.1008933451,5802483.463,0.79,0.9336475825
TOI-969 b,TOI-969,0.02636,2.765,0,86.75,90,0.67,0.05880626935,2901241.731,0.73,0.1307815683
TRAPPIST-1 d,TRAPPIST-1,0.02227,0.788,0,89.896,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 e,TRAPPIST-1,0.02925,0.92,0,89.793,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 f,TRAPPIST-1,0.03849,1.045,0,89.74,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 c,TRAPPIST-1,0.0158,1.097,0,89.778,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 b,TRAPPIST-1,0.01154,1.116,0,89.728,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 g,TRAPPIST-1,0.04683,1.129,0,89.742,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TRAPPIST-1 h,TRAPPIST-1,0.06189,0.755,0,89.805,90,0.12,0.1013687237,4934874.031,0.09,0.1431382722
TrES-3 b,TrES-3,0.02282,14.975,0,81.85,90,0.83,0.08577287834,5802483.463,0.93,0.0226085115
V1298 Tau d,V1298 Tau,0.1083,6.41,0.21,89.04,88,1.34,0.1155066554,9051874.202,1.1,4.01891
V1298 Tau e,V1298 Tau,0.308,8.74,0.57,89.4,91,1.34,0.1155066554,9051874.202,1.1,4.01891
V1298 Tau c,V1298 Tau,0.0825,5.59,0.43,88.49,92,1.34,0.1155066554,9051874.202,1.1,4.01891
V1298 Tau b,V1298 Tau,0.1688,10.27,0.29,89,85,1.34,0.1155066554,9051874.202,1.1,4.01891
WASP-10 b,WASP-10,0.03781,12.106,0.051575,88.49,162.65,0.7,0.05944620369,2901241.731,0.75,0.02234090225
WASP-107 b,WASP-107,0.05537,11.0905,0.06,89.687,40,0.67,0.06153382962,2901241.731,0.68,0.03010656716
WASP-121 b,WASP-121,0.02596,19.649,0,88.49,10,1.46,0.057534858,2398501.488,1.36,0.048064973
WASP-135 b,WASP-135,0.0243,14.572,0,82,90,0.96,0.089642297,5802483.463,0.98,0.2162764184
WASP-139 b,WASP-139,0.062,8.967,0,88.9,90,0.8,0.08468999501,5802483.463,0.92,0.05512074101
WASP-140 b,WASP-140,0.0323,16.141,0.047,83.3,-4,0.87,0.08909177266,5802483.463,0.9,0.1597735299
WASP-145 A b,WASP-145 A,0.0261,10.088,0,83.3,90,0.68,0.05784104648,2901241.731,0.76,0.0387453145
WASP-29 b,WASP-29,0.04567,8.631,0.03,88.8,90,0.79,0.06311234028,2901241.731,0.77,0.02694213701
WASP-43 b,WASP-43,0.0142,10.424,0,82.6,90,0.6,0.07337855916,3713589.416,0.58,0.03761384926
WASP-52 b,WASP-52,0.0272,14.24,0,85.35,90,0.79,0.08649283619,5802483.463,0.87,0.0848365008
WASP-59 b,WASP-59,0.0697,8.687,0.1,89.27,74,0.61,0.08360551757,5802483.463,0.72,0.366402206
WASP-69 b,WASP-69,0.4526,12.442,0,86.71,90,0.86,0.05711075169,2901241.731,0.98,0.200951212
WASP-77 A b,WASP-77 A,0.02335,13.787,0.0074,88.91,-166,0.91,0.06254113741,2901241.731,0.9,0.0436542731
WASP-8 b,WASP-8,0.0801,12.666,0.31,88.55,274.215,1.03,0.0522454652,2901241.731,1.34,0.1239182742
WASP-80 b,WASP-80,0.0344,11.198,0.002,89.02,94,0.59,0.06821278198,3326466.334,0.58,0.1190617033
WASP-93 b,WASP-93,0.04211,17.901,0,81.18,0,1.52,0.09597890989,5802483.463,1.33,1.971392899
Wolf 503 b,Wolf 503,0.05706,2.043,0.41,87.905,112,0.69,0.06210998838,2901241.731,0.69,0.08583822548
WASP-180 A b,WASP-180 A,0.048,13.9,0,88.1,90,1.19,0.0587,2901241.731,1.3,0.382
