pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
K2-284 b,K2-284,0.04771,2.78,0.078,89,180.2,0.61,0.06085822435,2901241.731,0.63,0.253490658
K2-286 b,K2-286,0.1768,2.1,0,89.67,90,0.62,0.06087801363,2901241.731,0.64,0.03354301284
K2-291 b,K2-291,0.03261,1.589,0,85.26,0,0.9,0.06083778895,2901241.731,0.93,0.0259763873
K2-3 b,K2-3,0.07515,2.049,0,89.588,0,0.56,0.05944620369,2901241.731,0.6,0.0223072343
K2-3 d,K2-3,0.20336,1.4567,0,89.788,0,0.56,0.05944620369,2901241.731,0.6,0.0223072343
K2-3 c,K2-3,0.1366,1.6214,0,89.905,0,0.56,0.05944620369,2901241.731,0.6,0.0223072343
K2-315 b,K2-315,0.02344,0.95,0,88.74,90,0.2,0.06856171504,2901241.731,0.17,0.001669307387
K2-321 b,K2-321,0.041,1.95,0,88.94,90,0.58,0.0607948489,2901241.731,0.6,0.02901305281
K2-33 b,K2-33,0.0409,5.04,0,89.1,0,1.05,0.1150290167,5802483.463,0.56,0.02000362832
K2-394 b,K2-394,0.0468,1.692,0,87.718,90,0.63,0.07301617178,2901241.731,0.48,0.02708142818
K2-406 b,K2-406,0.1435,4.602,0,89.03,90,0.96,0.06936227774,2901241.731,0.8,0.02546116919
K2-72 b,K2-72,0.04,1.08,0.11,89.15,7.49,0.33,0.0701064595,2901241.731,0.27,0.00318365659
K2-72 d,K2-72,0.05,1.01,0.11,89.26,14.28,0.33,0.0701064595,2901241.731,0.27,0.00318365659
K2-72 e,K2-72,0.106,1.29,0.11,89.68,11.39,0.33,0.0701064595,2901241.731,0.27,0.00318365659
K2-72 c,K2-72,0.078,1.16,0.11,89.54,16.83,0.33,0.0701064595,2901241.731,0.27,0.00318365659
K2-77 b,K2-77,0.08198,2.3,0.14,88.7,89,0.76,0.06012479404,2901241.731,0.8,0.02312403536
K2-85 b,K2-85,0.1282,1.2,0.24,89.4,67.59,0.68,0.06222480047,2901241.731,0.678,0.05966693634
K2-89 b,K2-89,0.01462,0.615,0.15,85.77,51.29,0.32,0.05866000952,2901241.731,0.35,0.004734260429
K2-9 b,K2-9,0.091,2.25,0.05,87.983,90,0.31,0.06339285542,2901241.731,0.3,0.0002404333704
